'place_id','place'
'AC','America Central'
'AG','Aguascalientes'
'AS','América del Sur'
'BC','Baja California'
'CA','Campeche'
'CH','Chihuahua'
'CL','Colima'
'CN','Baja California (Norte)'
'CO','Coahuila'
'CP','Chiapas'
'CS','Baja California (Sur)'
'DF','Distrito Federal'
'DU','Durango'
'ES','España'
'EU','Europa'
'FR','Francia'
'ME','Estado de México'
'MI','Michoacán'
'MO','Morelos'
'NL','Nuevo León'
'OA','Oaxaca'
'OT','Otro'
'PU','Puebla'
'QR','Quintana Roo'
'QU','Querétaro'
'SI','Sinaloa'
'SL','San Luis Potosi'
'SO','Sonora'
'TA','Tamaulipas'
'TB','Tabasco'
'TE','Tepic (Nayarit)'
'TL','Tlaxcala'
'GR','Guerrero'
'GT','Guanajuato'
'HI','Hidalgo'
'HU','Huasteca'
'JA','Jalisco'
'US','Estados Unidos'
'VE','Veracruz'
'YU','Yucatán'
'ZA','Zacatecas'
'LA','La Laguna'
