'occupation_id','occupation'
'__','sin especificar'
'01','Soldado'
'02','Teniente'
'03','Capitán'
'04','Mayor'
'05','Teniente coronel'
'06','Coronel'
'07','Brigadier'
'08','General de Brigada'
'09','General de la División'
'10','Funcionario en un organismo federal en la ciudad de México'
'11','Funcionario en un gobierno de Estado'
'12','Funcionario en un puesto federal en un Estado'
'13','Jefe de rurales'
'14','Secretario de gobierno de un Estado'
'15','Jefe o prefecto político'
'16','Diputado de una legislatura de Estado'
'17','Cargo militar'
'18','Diplomático o representante oficioso'
'19','Misión o comisión política'
'20','Abogado'
'21','Médico'
'22','Ingeniero'
'23','Profesor'
'24','Profesor de escuela preparatoria'
'25','Profesor de la enseñanza superior'
'26','Director de establecimiento escolar'
'28','Periodista'
'29','Estudiante'
'30','Hacendado'
'31','Industrial'
'32','Banquero'
'33','Negociante'
'34','Notario'
'35','Negocios mineros'
'36','Gerente'
'37','Hombre de negocios'
'38','Escritor, dramaturgo'
'40','Ranchero'
'41','Pequeño propietario, arrendatario, mediero'
'42','Capataz, mayordomo'
'43','Campesino en general'
'45','Vaquero'
'46','Peón'
'47','Campesino de una comunidad'
'48','Bracero'
'50','Artesano'
'51','Obrero textil'
'52','Ferrocarrilero'
'53','Obrero petrolero'
'54','Tipógrafo'
'55','Obrero de minas o industria minera'
'56','Marinero'
'57','Estibador de muelles'
'58','Empleado de servicios públicos'
'59','Metalurgista'
'60','Arriero'
'61','Buhonero'
'62','Pequeño propietario de minas'
'63','Administrador de hacienda'
'64','Ingeniero de minas'
'65','Ingeniero agrónomo'
'66','Obrero-campesino'
'67','Cantinero'
'68','Transportista'
'70','Comerciante'
'71','Empleado de comercio'
'72','Pastor protestante'
'73','Funcionario fiscal'
'74','Gerente'
'75','Empleado en general'
'76','Fotógrafo'
'77','Bandido'
'78','Pequeño empresario'
'79','Pequeño funcionario'
'80','Embajador o ministro plenipotenciario'
'81','Puesto judicial'
'82','Regidor de concejo municipal'
'83','Oficial de marina'
'84','Juez de Distrito'
'85','Presidente de la Corte de Justicia de un Estado'
'86','Farmacéutico'
'87','Aviador'
'88','Puesto técnico en la administración pública'
'89','Jefe de un establecimiento público'
'90','Policía'
'91','Jefe de un ejército revolucionario'
'92','Religioso'
'93','Puesto en la administración de la educación'
'94','Director de diario'
'95','Artista'
'96','Gobernador'
'97','Ministro'
