'personal_link_id','personal_link'
'_','sin especificar'
'A','acompañante, entorno'
'B','cuñado'
'C','cliente en general'
'D','desacuerdo con...'
'E','enemigo'
'F','hermano'
'G','amigo'
'H','hijo'
'I','compadre'
'J','correligionario'
'K','condiscípulo'
'L','jefe militar de...'
'M','militar bajo...'
'N','sobrino'
'O','primo'
'P','padre'
'Q','discípulo de...'
'R','representante'
'S','secretario'
'T','pariente en general'
'U','partidario de'
'V','fin del lazo precedente'
'X','tiene clientes; si a continuación tiene la fecha 14: representante en la Soberana Convención Revolucionaria de Aguascalientes'
'Y','yerno'
'Z','Jefe del Estado Mayor de...'
'W','miembro del Estado Mayor de...'
