'military_division_id','military_division'
'_','sin especificar'
'A','la. región militar: CN + CS + SO + SI'
'B','2a. región militar: CH + DU'
'C','3a. región militar: CO + NL + TA'
'D','4a. región militar: JA'
'E','5a. región militar: ZA + AG + SL'
'F','6a. región militar: MI + GT + QU'
'G','7a. región militar:GR+MO+PT+TL'
'H','8a. región militar: OA — IS'
'I','9a. región militar:EVE+EOA+TB+CP'
'J','10a. región militar: CA + YU + QR'
'K','lla. región militar: DU + LA + N ZA'
'AC','Comandancia militar de Acapulco: GC'
'AJ','Altos de Jalisco'
'AN','Norte: CS + CN + SO + SI + TE'
'AR','Departamento de Artillería'
'CB','Departamento de Caballería'
'CE','Centro'
'CM','Colima-Michoacán: CL + S MI'
'CR','Centro-Noreste: TE + JA + CL + MI + GT + AG + SL + TA + HU'
'CT','Colotlán = N JA'
'CV','Centro Veracruz: VE —— HU — IS'
'CY','Campeche-Yucatán: CA + YU'
'CZ','Coahuila-Zacatecas: CO + LA + NZA'
'DA','División Nazas'
'DB','División Bravo'
'DC','División Centro'
'DE','División Oriente'
'DM','D.F. y Este de México: DF + E ME'
'DN','División del Norte'
'DP','División Península'
'DS','División del Sur'
'DW','División de Occidente'
'DY','División del Yaqui'
'EA','ler. Cuerpo de Ejército (Huerta)'
'EB','2o. Cuerpo de Ejército (Huerta)'
'EC','3er. Cuerpo de Ejército (Huerta)'
'ED','4o. Cuerpo de Ejército (Huerta)'
'EE','5o. Cuerpo de Ejército (Huerta)'
'EF','6o. Cuerpo de Ejército (Huerta)'
'EG','División Península'
'EM','Departamento de Estado Mayor'
'EP','Estado Mayor Presidencial'
'ES','División de Oriente (Carranza)'
'GC','Guerrero Costa'
'GN','Guerrero Norte'
'HU','Huasteca'
'IF','Departamento de Infantería'
'IG','Departamento de Ingenieros'
'IS','Istmo: SE VE + E OA + a veces W TB'
'JG','Jalisco—Guanajuato: JA + CL + MI + GT + ZG'
'JM','Jalisco—Michoacán: JA + N MI'
'LA','La Laguna = E DU + SW CO'
'LC','La Laguna-Coahuila: LA + CO + N ZA'
'LT','La Laguna-Tamaulipas = LA + N ZA + CO + NL + N TA'
'MC','Monclova: N CO'
'MG','Michoacán-Guanajuato = MI + S MI + SE GT'
'MM','ME + MO + DF'
'MX','Comandancia Militar de México: DF + M'E + HI'
'NC','Noreste-Centro: JA + CT + MI + GT + AG + QU + SL + NL + TA + HU'
'ND','Indé-El Oro: N DU'
'NE','Noreste'
'NN','Norte-Norte: CH + ND + NZ + LA + SA'
'NT','Nuevo León—Tamaulipas: NL + TA'
'NW','Noroeste'
'NZ','Norte Zacatecas: N ZA'
'OR','Oriente: HI + TL + PU + CV'
'OS','Oaxaca Sur = OA —— N OA + IS' 
'OX','OA—IS'
'PC','CP—NCP'
'PD','DU—ND——LA'
'PG','GT—SEGT'
'PH','Huasteca propiamente dicha'
'PI','Pinotepa Nacional: S OA'
'PJ','JA—CT—AJ + NMI'
'PN','CH + DU + LA'
'PO','OA — PI — IS'
'PS','SL — E SL'
'PT','Puebla-Tlaxcala: PU + TL'
'PZ','ZA — N ZA'
'SA','Saltillo CO —— LA'
'SE','Sureste'
'SM','Saltillo-Monterrey = S CO —— LA + NL'
'SR','Sur: DF + M0 + EME'
'ST','Sureste: IS + TB + CP + CA + YU + QR'
'SU','Sur'
'TC','Tabasco centro = TB — W TB'
'TP','TA —— N TA'
'TS','Tamaulipas sur = TA — N TA + N SL + N HU'
'VC','Veracruz centro = VE —— N HU — IS + N OA'
'VR','Veracruz inc.: VE —— IS'
'VZ','” ”:VE—HU—IS+NOA'
'WD','Oeste Durango: DU — LA'
'WE','Occidente'
'WM','Oeste México: W ME'
'ZG','Zacatecas-Aguascalientes = ZA — N ZA + AG'
'ZJ','Zacatecas-Jalisco = ZA — N ZA + CT'
'ZT','Zacatecas—Tamaulipas: CZ + NL + TN'
'TB','Tabasco'
'QR','Queretaro'
