'codes_id','codes'
'A','Jefe de Armas de un Estado o jefe de operaciones independiente'
'BA','Regreso a la vida activa'
'BB','Pertenencia a una facción local'
'BC','Nivel de cultura'
'BD','Derrota militar'
'BE','Exilio'
'BF','Origen familiar'
'BH','Nivel de fortuna'
'BI','Establecimiento universitario'
'BJ','Jefe de Armas de una plaza'
'BK','Cargo político'
'BL','Lucha en una región'
'BM','Muerte'
'BN','Nacimiento'
'BO','Características personales'
'BP','Toma de la ciudad ...'
'BQ','Combate en '
'BR','Retiro militar o político'
'BS','Pertenencia para una colectividad'
'BT','Pertenencia para una persona'
'BU','Mando militar efectivo'
'BV','Actividad pública'
'BW','Trabajo'
'BZ','Victoria militar '
'C','Ministro de la Soberana Convención Revolucionaria'
'D','Diputado'
'E','Jefe de un ejpercito en campaña'
'G','Gobernador constitucional (elegido)'
'H','Gobernador provisional(no-elegido)'
'I','Gobernador interino (durante la ausencia del titular)'
'J','Juez de la Suprema Corte'
'K','Gobernador de una faccion (las fechas que definen lo que es una faccion son las de la presidencia)'
'L','Vínculos personales'
'M','Secretario de Estado'
'N','Subsecretario de Estado'
'O','Oficial Mayor'
'P','Presidente de la República'
'Q','Otro cargo político'
'S','Senador'
'T','Gobernador y comandante militar'
'VC','Suceso en una colectividad'
'VM','Medida tomada'
'W','Grado militar'
'X','Delegado de la Soberana Convencion revolucionaria de Aguascalientes'
'Y','Jefe de operaciones militares dependiente de otro'
'Z','Jefe de región militar o jefe de operaciones militares'
'=','Diploma'
