'annuary_id','module'
8,'D|P|98|7|PU|17|_'
8,'D|P|00|7|PU|17|_'
8,'D|P|02|7|PU|08|_'
8,'D|P|04|7|SI|02|_'
8,'D|P|06|7|SI|04|_'
8,'D|P|08|7|SI|04|_'
8,'D|P|10|6|SI|04|_'
8,'S|S|13|A|MO|__|_'
8,'D|S|13|A|DF|05|_'
16,'BM|__|_|SI|__|_'
16,'Q|_|71|B|CH|__|3'
16,'BT|71|B|CH|01|2'
16,'Q|_|71|C|CH|__|3'
16,'BT|71|C|CH|01|2'
16,'D|S|98|7|GT|02|_'
16,'D|S|00|7|GT|02|_'
16,'D|S|02|7|GT|02|_'
16,'D|S|04|7|GT|02|_'
16,'D|S|06|7|GT|02|_'
16,'BM|07|6|__|__|1'
17,'BN|__|_|SI|__|_'
17,'D|S|98|7|CH|03|_'
17,'D|S|00|7|CH|03|_'
17,'D|S|02|7|JA|03|_'
17,'D|S|02|7|CH|06|_'
21,'=|I|__|_|__|__|_'
21,'BN|62|_|SL|01|1'
21,'BF|62|1|SL|35|A'
21,'BC|75|3|DF|01|5'
21,'BF|76|3|SL|35|A'
21,'BW|84|_|HI|35|1'
21,'BC|84|7|DF|01|5'
21,'BW|87|_|MO|35|_'
21,'BK|87|_|SL|16|2'
21,'BH|92|C|SL|35|A'
21,'BH|93|_|SL|35|B'
21,'BV|98|_|DF|01|6'
21,'D|S|98|7|SL|07|_'
21,'L|G|99|_|_|1491'
21,'L|X|00|1|_|0000'
21,'BV|00|8|SL|01|8'
21,'BT|00|9|SL|05|_'
21,'BV|01|_|CO|05|_'
21,'BR|02|1|SL|__|4'
21,'BT|03|2|DF|05|_'
21,'BE|03|4|US|__|_'
21,'L|E|04|3|_|6386'
21,'L|D|05|2|_|6386'
21,'BR|08|_|DF|__|4'
21,'BT|11|3|DF|42|4'
21,'BT|11|7|DF|43|4'
21,'BK|12|1|US|18|4'
21,'BE|13|2|US|20|5'
21,'BW|20|5|DF|10|1'
22,'D|S|98|7|PU|15|_'
22,'D|S|10|6|PU|18|_'
23,'D|S|98|7|PU|07|_'
24,'=|L|__|_|__|__|_'
24,'BN|51|_|JA|09|_'
24,'BC|71|5|DF|01|5'
24,'BW|90|_|DF|94|1'
24,'D|S|98|7|DU|03|_'
24,'D|S|00|7|DU|03|_'
24,'BM|17|_|DF|01|1'
25,'D|S|98|7|ZA|08|_'
25,'D|S|00|7|ZA|08|_'
